identifier,name,surname,first_name,birthdate,nationality,language
14-10/68,Eliz,Schultz,Cleo,2002-06-02,Uruguayan,Tamil
65-00/95,Long,Daugherty,Rod,2020-09-09,Polish,Marathi
10-43/12,Denese,Waller,Bobette,2003-09-21,Saudi,French
03-20/80,Trent,Myers,Jeromy,1983-02-03,Chilean,Kurdish
65-39/07,Sanora,Banks,Cherlyn,2020-01-25,Danish,Azeri
33-59/74,Damien,Riggs,Samuel,1992-09-25,Argentinian,Persian
55-60/78,Maisha,Freeman,Clelia,2003-04-22,Romanian,Hungarian
45-74/05,Arlinda,Baker,Cecil,2021-03-14,Russian,Gujarati
14-58/12,Dalton,Landry,Paris,1988-06-29,Venezuelan,Indonesian
31-33/50,Hedy,Turner,Blake,1985-10-21,Russian,Irish Gaelic
12-41/10,Darryl,Wolfe,Leontine,1984-12-24,Venezuelan,Icelandic
03-27/72,Elisabeth,Wells,Raymond,1985-04-07,Cuban,Tswana
06-50/91,Particia,Riddle,Shonta,2010-06-02,Cuban,Nepali
68-13/25,Emmett,Hampton,Cherish,1998-01-31,Mexican,Papiamento
47-92/62,Vasiliki,Petersen,Napoleon,2019-12-21,Spanish,Bosnian
70-57/63,Carmine,Patton,Harry,2011-11-26,British,Malayalam
22-75/63,Mauro,Swanson,Amal,2016-12-08,Danish,English
52-09/61,Jessika,Rosales,Cliff,2002-10-30,Salvadorian,Ndebele
10-08/26,Malena,Mosley,Milan,1981-08-28,Swedish,Hungarian
43-27/42,Fredric,Duncan,Delcie,1991-09-30,Danish,Gujarati
63-19/55,Meggan,Bryan,Mason,1990-04-02,Guatemalan,Guaraní
43-10/79,Leonard,Bartlett,Darrick,2006-05-24,Cambodian,Khmer
91-05/37,Harry,Nunez,Karyl,1994-01-03,Colombian,Fijian
75-79/68,Abram,Burton,Marc,2000-02-21,French,Afrikaans
61-09/13,Adah,Briggs,Gerald,1989-10-07,Dutch,Belarusian
26-26/82,Christian,Hughes,Renay,1999-04-22,Israeli,Quechua
07-56/72,Tonda,Parker,Francisco,1982-01-26,Saudi,Moldovan
18-23/80,Brant,Davenport,Gustavo,1991-08-27,Russian,Gagauz
35-87/44,Rufus,Sweeney,Yun,2007-08-14,Argentinian,German
81-87/17,Jacqulyn,Lloyd,Mikki,2019-11-09,Irish,Chinese
36-81/40,Nicol,Sims,Anthony,1992-04-10,Bolivian,Sotho
68-64/90,Ricardo,Vance,Conception,1983-06-21,Venezuelan,Icelandic
17-03/79,Peter,Pennington,Glynda,2010-09-06,French,Fijian
94-52/06,Cole,Spears,Quinton,1986-11-12,Canadian,Guaraní
50-19/85,Phung,Hendricks,Percy,1986-05-31,Estonian,Northern Sotho
29-36/43,Davis,Mckinney,Bryant,1989-01-03,Colombian,Persian
56-01/92,Rubie,Mcdaniel,Rodolfo,2022-11-15,Jordanian,Filipino
53-18/10,Shon,Grant,Hilario,2023-12-24,Spanish,Aymara
62-01/94,Cornell,Alvarado,Armanda,2021-08-29,Ethiopian,Luxembourgish
70-38/29,Davis,Michael,Tony,1980-05-13,Brazilian,Papiamento
07-77/44,Jess,Moore,Frank,1987-05-08,French,Romanian
57-28/30,Pauletta,Bauer,Drew,2009-07-07,Iranian,West Frisian
34-61/14,Britt,Travis,Refugio,2010-08-05,Costa Rican,Montenegrin
93-31/16,Marielle,Puckett,Ladawn,2013-12-11,Australian,Yiddish
43-25/03,Hee,Horne,Barton,1995-01-08,Swiss,Arabic
62-20/24,Krysten,Maxwell,Irish,2015-07-25,Iranian,Swedish
54-08/92,Estefana,Barnes,Calista,1997-07-08,Russian,Malay
23-57/47,Thu,Guerra,Kaycee,2020-03-21,Portuguese,Armenian
53-98/26,Ngan,Shannon,Rea,1985-12-14,Belgian,Dutch
32-11/08,Dong,Jacobson,Temika,2009-04-02,Cameroonian,Russian
39-54/05,Billy,Gillespie,Leonardo,1990-01-02,Costa Rican,Latvian
46-09/51,Latesha,Harrell,Marvis,2009-03-30,Ecuadorian,Italian
32-60/19,Ronnie,Shelton,Shani,1988-09-05,Finnish,Catalan
39-49/22,Kirby,Dillard,Brittaney,1995-07-22,Costa Rican,Japanese
85-65/36,Talisha,Mcleod,Magan,1987-01-13,Puerto Rican,Gujarati
21-33/98,Israel,Rollins,Shaunna,2000-06-26,Polish,Georgian
71-87/55,Chanell,Martin,Forrest,1995-04-10,Portuguese,French
84-84/87,August,Stokes,Alfred,2010-08-29,Ethiopian,Italian
34-60/38,Annika,Dillard,Hisako,1987-07-29,Argentinian,Armenian
44-35/27,Rosette,Robbins,Willis,2023-09-02,Canadian,Dutch
24-72/85,Irmgard,Rios,Alonso,2009-01-06,Cuban,Chinese
21-30/04,Becki,Christensen,Brynn,1988-11-02,Bolivian,Guaraní
06-63/40,Librada,Webb,Donovan,1999-09-25,Greek,Aymara
23-68/00,Pamila,Tyson,Alia,2015-06-03,Romanian,Japanese
66-97/29,Tonisha,Herman,Julius,1987-03-06,Irish,Bengali
92-38/10,Shaunte,Dickson,Tonette,1988-04-23,Danish,Oriya
81-94/37,Ramon,Hale,Jerold,2007-01-11,Egyptian,Punjabi
90-40/26,Dede,Ashley,Courtney,2014-07-07,Mexican,Tajik
65-05/86,Luke,Langley,Maxima,1993-10-08,Dutch,Aymara
39-73/58,Gail,Dorsey,Murray,2006-03-26,Italian,Moldovan
36-29/99,Fritz,Wheeler,Shavonda,2021-08-01,Greek,Polish
99-13/96,Saul,Levine,Eldon,1987-04-08,Salvadorian,Khmer
45-18/89,Hassan,Miller,Marhta,1981-09-21,Danish,Polish
75-20/87,Florencio,Coffey,Bernardo,1990-02-08,Dutch,Croatian
68-62/90,Jann,Mcintosh,Jeni,1989-05-04,Romanian,Māori
98-38/79,Assunta,Reid,Cody,2023-12-11,Australian,Zulu
24-58/11,Erik,Rose,Bradley,2023-09-16,Latvian,Chinese
03-73/47,Lorina,Drake,Dewey,2004-04-11,Belgian,Russian
40-41/89,Le,Mccall,Lester,2009-07-30,Uruguayan,Moldovan
90-91/56,Edmund,Webster,Alberto,2002-06-11,Dominican,Lao
46-21/60,Alphonse,Donovan,Craig,1991-06-04,Portuguese,Bislama
45-66/73,Omega,Diaz,Lawrence,1990-01-21,English,Tetum
12-51/78,Jame,Briggs,Winston,1996-12-16,Italian,Gujarati
69-39/29,Concha,Randall,Meggan,2011-06-07,Finnish,Hiri Motu
01-53/51,Wade,Warner,Britt,2010-02-13,Mexican,Pashto
80-15/30,Tamatha,Santana,Tory,2012-03-31,Uruguayan,Montenegrin
34-94/88,Lean,Giles,Margrett,1980-10-11,Uruguayan,Khmer
06-47/93,Roseline,Pruitt,Alejandro,1988-06-16,Colombian,Gujarati
84-67/40,Annamae,Decker,Ranae,2021-11-15,Latvian,Maltese
33-88/88,Allegra,Mcknight,Glen,1995-02-06,Dominican,West Frisian
57-39/92,Bernetta,Mcleod,Hisako,1986-05-15,Spanish,Quechua
18-17/68,Lakita,Puckett,Refugio,2020-11-20,Ethiopian,Tajik
27-75/69,Britt,Boone,Lou,1999-02-19,Canadian,Aymara
33-44/94,Dane,Chase,Walton,1987-11-20,Chinese,Malay
49-21/72,Franklin,Watkins,Bryce,2000-03-29,Puerto Rican,Quechua
93-31/43,Mika,Holt,Elroy,2011-01-12,Polish,Estonian
00-54/13,Odelia,Sullivan,Voncile,2007-09-03,Salvadorian,Burmese
58-26/25,Donald,Brooks,Graham,1986-08-08,Jordanian,Dhivehi
93-57/54,Dean,Rich,Mac,1996-03-13,Latvian,Norwegian
43-48/96,Nelia,Mcknight,Madelaine,2018-11-24,Afghan,Khmer
54-98/55,Michal,Alston,Treasa,1982-12-03,French,Swahili
61-88/57,Nicolas,Murray,Ashli,2006-02-10,Puerto Rican,Portuguese
86-13/06,Monte,Gallagher,Jefferson,1992-05-15,Polish,Aymara
06-75/80,Sha,Sawyer,Dwight,2023-09-22,Salvadorian,Tamil
81-79/90,Keven,Black,Penni,1981-06-01,Guatemalan,Filipino
02-55/46,Wilmer,Haley,Chance,1984-04-29,Mexican,Gujarati
72-18/14,Neil,Mcmahon,Dennis,1980-12-10,Argentinian,Italian
27-98/84,Ross,Flores,Shu,2013-03-31,Argentinian,Malay
25-22/67,Ed,Cummings,Calvin,2002-06-07,British,Albanian
35-84/11,Priscila,Vazquez,Jean,1984-09-27,Irish,Moldovan
99-33/03,Dirk,Steele,Concha,2011-04-06,Finnish,Kyrgyz
81-97/89,Elsy,Allison,Franklin,2012-08-24,Spanish,Haitian Creole
69-68/20,Idell,Gilbert,Lynetta,2014-09-19,Colombian,Telugu
71-07/62,Winston,Blair,Rhett,1998-05-14,Mexican,Hiri Motu
42-49/71,Jacelyn,Tucker,Gale,1991-05-10,Guatemalan,Tswana
03-24/08,Kali,Kemp,Dan,2012-07-04,Swedish,Greek
17-21/46,Oscar,Small,Octavio,2003-09-29,Spanish,Hebrew
29-74/98,Galen,Booth,Jessie,2007-11-13,Canadian,Azeri
65-21/39,Neville,Roman,Tommy,1983-04-19,Cuban,Kyrgyz
58-61/62,Micheal,Gilmore,George,2000-05-23,Polish,Bosnian
63-84/02,Madaline,Barry,Kasey,1993-07-07,Swiss,Kannada
58-22/66,Beaulah,Trujillo,Edison,1982-08-15,Argentinian,Bislama
14-97/02,Shon,Nash,Laurence,1997-01-04,Japanese,Polish
36-68/99,Malcolm,Lucas,Noble,2018-04-15,Jordanian,Gujarati
14-52/86,Ronald,Alford,Horace,1990-05-28,British,Dhivehi
50-53/88,Jarod,Cross,Sherilyn,2000-02-07,Dominican,Tajik
18-52/35,Carylon,Mcintyre,Sean,1984-05-13,Israeli,Bengali
21-55/95,Douglas,Burnett,Jenette,2002-08-02,Estonian,Icelandic
01-96/87,Logan,Kidd,Theresia,1987-09-26,British,Gagauz
21-88/00,Jae,Ayala,Emely,2006-08-19,Canadian,Lithuanian
91-09/15,Tyler,Pacheco,Meridith,2000-11-25,Belgian,Kashmiri
27-67/99,Genia,Tucker,Edyth,2005-01-12,Swedish,West Frisian
30-17/09,Jan,Snider,Amina,2010-07-03,Portuguese,Nepali
40-52/20,Emory,Walter,Jules,2002-08-19,Latvian,Dari
34-59/45,Wilfredo,Scott,Elenora,1988-10-31,British,Swati
55-96/64,Giovanni,Maynard,Zofia,2022-08-21,Swiss,Yiddish
00-70/59,Hank,Rowe,Letty,2014-10-21,Italian,Dhivehi
97-17/84,Beau,Kirby,Zachery,2021-02-11,Swiss,English
89-10/51,Chae,Jacobson,Hiram,2007-04-25,Brazilian,Arabic
95-22/14,Giuseppina,Franco,Debera,1999-07-16,Puerto Rican,Dhivehi
46-32/68,Eugena,Marshall,Don,2004-03-03,Colombian,Polish
92-05/82,Gonzalo,Singleton,Corrin,2023-05-24,Greek,Lithuanian
51-93/17,Billi,Riley,Todd,2007-07-08,Canadian,German
95-09/52,Theron,England,Ned,1981-08-28,British,Tamil
69-07/55,Kareem,Phelps,Darnell,1995-02-22,German,Lithuanian
63-47/75,Erick,Stevens,Gabriel,1987-10-03,Puerto Rican,Aymara
26-77/73,Ruthanne,Phillips,Donny,1997-09-07,Japanese,Italian
57-42/68,Jarred,Henson,Maxima,1997-05-09,Australian,Māori
98-15/15,Johnathon,Mueller,Marshall,2017-06-12,Latvian,Gagauz
66-80/08,Vaughn,Camacho,Pei,1995-12-18,Greek,Tajik
77-82/80,Bethann,Mason,Lilliam,2011-05-14,Costa Rican,Tamil
24-29/18,Carter,Lindsay,Jeanene,1982-10-27,Swiss,French
14-96/76,Ernie,Martinez,Takisha,1986-11-15,Cambodian,Tswana
87-99/44,Kamala,Barlow,Serita,1995-01-02,Venezuelan,Finnish
10-01/50,Weldon,Mcintyre,Margaretta,2005-12-31,Dutch,Māori
92-64/15,Quinn,Burgess,Brice,2012-01-16,Ethiopian,Khmer
31-59/05,Filiberto,Blair,Troy,1983-08-06,Chilean,Romanian
66-41/12,Ned,Moore,Isaias,2008-06-12,Portuguese,Northern Sotho
80-94/71,Silas,Tran,Josh,1990-05-16,Chinese,Haitian Creole
74-98/43,Dorla,Charles,Fransisca,1987-11-01,Italian,Swati
12-64/54,Angelika,Gray,Marna,1988-12-21,Brazilian,Assamese
38-71/73,Norman,Silva,Shea,2014-12-15,Bolivian,Azeri
45-86/36,Dagny,Riley,Kathline,2001-10-06,Salvadorian,Swati
21-60/95,Darnell,Everett,Emeline,1991-01-12,Ethiopian,Malagasy
38-49/12,Josiah,Carney,Jackeline,2002-10-05,Jordanian,Filipino
48-87/11,Thalia,Benton,Tammara,1988-06-03,Costa Rican,Dhivehi
62-34/13,Nathan,Barnett,Horacio,2022-08-09,Brazilian,Yiddish
18-78/18,Ulysses,Carey,Andrew,2009-12-01,Afghan,German
24-87/23,Chantay,Ellis,Alessandra,2011-07-02,Ecuadorian,Burmese
96-97/84,Grant,Sims,Kimbery,1986-03-25,Japanese,Bosnian
85-22/74,Mary,Turner,Nelia,1990-11-04,Mexican,Afrikaans
23-14/17,Paris,Guerra,Phylicia,1986-08-22,Ecuadorian,Georgian
75-01/42,Layla,Camacho,Makeda,1995-02-10,Colombian,Icelandic
21-39/01,Layla,Solomon,Wilton,2010-01-27,Romanian,Catalan
36-02/44,Ozie,Oliver,Shawn,1995-10-29,Greek,Spanish
29-16/86,Kendall,Booth,Danilo,2015-12-11,Costa Rican,Norwegian
33-68/79,Gia,Benjamin,Reagan,1997-01-04,Bolivian,Luxembourgish
80-42/36,Neal,Wynn,Lavona,1985-01-01,French,Northern Sotho
20-54/53,Cleo,Ewing,Graham,2019-08-07,British,English
54-10/40,Bradley,Guerrero,Shizuko,1990-11-20,Taiwanese,Māori
88-64/62,Seema,Gibbs,Wiley,2017-07-31,Bolivian,Bosnian
90-90/60,Jacelyn,O'neal,Alonzo,2015-06-18,Egyptian,Armenian
38-80/41,Micheal,Moore,Matha,1997-01-22,Ecuadorian,Georgian
77-60/20,Raymond,Christian,Milda,2002-03-13,Chinese,Tajik
60-27/85,Dewey,Warren,Beau,2002-06-26,Bolivian,Fijian
61-07/04,Tonita,Whitley,Ned,2008-02-12,Saudi,Haitian Creole
23-36/33,Jay,Pitts,Lyman,1990-12-05,Puerto Rican,Malay
47-60/35,Edwardo,Langley,Elane,1980-05-24,Brazilian,Burmese
92-81/57,Cleveland,Montoya,Terrell,2010-04-06,Egyptian,Nepali
40-24/05,Loree,Bradshaw,Daron,1983-09-01,Danish,French
44-26/42,Nga,Noel,Merlin,1984-02-21,Egyptian,Sotho
36-62/03,Dalene,Luna,Jaime,2009-02-17,Uruguayan,Russian
65-14/36,Donya,Branch,Anibal,2021-04-04,Uruguayan,Hindi
04-57/29,Jarred,Cole,Celinda,1991-09-04,Israeli,Hiri Motu
72-07/82,Corie,Lowery,Lurlene,1991-12-19,Dutch,Assamese
69-37/01,Emerita,Rhodes,Kary,1987-08-09,Canadian,Montenegrin
04-46/07,Eleonore,Hopper,Collen,2019-12-28,Cameroonian,Tamil
64-52/71,Fabian,Carr,Mandie,2003-10-14,Colombian,Burmese
55-75/77,Amiee,Travis,Paris,1990-04-25,Danish,Azeri
89-05/71,Quentin,Mcmillan,Lenard,2018-01-29,Chilean,Catalan
84-92/90,Dean,Mooney,Tynisha,1983-04-27,Jordanian,Somali
09-24/14,Todd,Maldonado,Earle,2022-11-07,Argentinian,Irish Gaelic
42-27/08,Jim,Hammond,Cheree,2009-07-20,Chilean,Montenegrin
89-31/55,Ja,Ryan,Shyla,2008-02-27,Salvadorian,Azeri
09-66/17,Joane,Vasquez,Chas,1996-09-22,Portuguese,Swahili
50-64/96,Louvenia,Graham,Rudolph,1997-04-17,Irish,Dzongkha
34-42/09,Jeff,Dyer,Omar,2003-12-01,British,Khmer
40-50/48,Lavona,Little,Levi,2017-05-06,Argentinian,Māori
94-66/51,Buford,Tanner,Kennith,1984-02-05,Spanish,Sotho
62-24/66,Luise,Wong,Nicolas,2004-03-14,Swedish,Indonesian
78-21/20,Synthia,O'donnell,Leontine,2019-02-08,Colombian,Tswana
43-29/51,Eura,Higgins,Stormy,2006-06-08,Chilean,Finnish
99-33/23,Manie,Emerson,Mikaela,1985-08-03,German,Dari
17-41/47,Zachary,Dixon,Fermina,2009-04-03,Japanese,Norwegian
50-91/49,Ramon,Adams,Scott,2003-03-29,Iranian,Khmer
16-75/08,Toney,Beard,Leia,1987-09-16,Canadian,Tswana
06-68/16,Layne,Carroll,Dannie,2004-12-21,German,Tamil
32-86/19,Barbar,Barnett,Isaiah,1994-12-13,Ukrainian,Guaraní
05-78/65,Delisa,Ray,Jimmy,1988-11-19,English,Gujarati
78-13/61,Sanford,Mason,Ai,1998-01-27,Polish,Russian
14-86/92,Kurtis,Clements,Jona,2010-02-25,Italian,Icelandic
20-11/53,Emmett,Cole,Lyndon,1984-06-21,Russian,Afrikaans
30-42/36,Scot,Figueroa,Jayson,2017-02-04,Dutch,Thai
24-02/00,Patrick,Guerra,Rozella,1990-02-03,Swedish,Azeri
41-63/81,Santo,Rich,Nestor,2004-03-11,Cuban,Azeri
94-20/08,Winford,Pittman,Britta,1984-08-23,Polish,Norwegian
90-71/16,Alva,Buchanan,Denisse,1986-11-23,Ecuadorian,Chinese
65-96/84,Frederick,Morgan,Donn,1989-10-24,Spanish,Japanese
40-35/07,Caprice,Davenport,Lanie,2010-10-01,Canadian,Portuguese
62-01/07,Ruben,Kirk,Carmelo,2010-04-13,German,Fijian
44-11/58,Laverna,Strong,Shonna,2005-06-04,Estonian,Kazakh
81-14/26,Alise,Fleming,Anderson,1984-11-29,Egyptian,Spanish
28-38/35,Andres,Fulton,Edwin,2005-05-27,Bolivian,Hindi
96-94/58,Shila,Stephens,Napoleon,2014-01-20,Chilean,Montenegrin
83-05/23,Morgan,House,Gerald,1985-01-17,Mexican,Spanish
89-12/52,Gustavo,Warner,Kip,1989-05-04,Romanian,Tsonga
08-27/26,Geoffrey,Harmon,Elliott,1983-02-20,British,Norwegian
00-86/31,Regan,Douglas,Mallie,2022-12-06,Afghan,Malayalam
56-66/93,Sam,Ellis,Eufemia,2013-01-03,Russian,Estonian
08-93/36,Lance,Chase,Louis,2005-01-08,Chinese,Kurdish
25-61/56,Lenard,Joyce,Jesusa,2007-09-07,Italian,Tajik
87-55/16,Guy,Hodge,Vinnie,1982-09-11,Ukrainian,Indonesian
54-56/86,Ping,Ellis,Buck,2008-08-10,Italian,Japanese
71-42/57,Joshua,Meadows,Jeanett,1994-02-10,Colombian,Hindi
65-62/28,Thaddeus,Ryan,Lenita,2019-09-19,Iranian,Malayalam
95-68/66,Zulema,Mckay,Mitzie,2019-02-20,German,Kannada
34-77/25,Angelika,Guzman,Kent,2001-06-20,Colombian,Malagasy
74-61/05,Seymour,Lindsay,Minta,1987-03-30,Venezuelan,Kyrgyz
97-55/01,Kristeen,Jefferson,Signe,2011-07-26,Belgian,Spanish
07-01/63,Carl,Romero,Malik,2021-04-29,Argentinian,Portuguese
92-99/20,Wyatt,Mullins,Shandi,2001-07-17,Irish,Polish
42-10/24,Melida,Simmons,Kera,2000-05-28,Latvian,Gagauz
11-41/03,Marin,Whitaker,Jenell,1995-08-15,Canadian,Estonian
73-44/67,Anastacia,Zimmerman,Calandra,2022-02-25,Jordanian,Albanian
86-77/79,Winford,Ramsey,Efren,2020-06-19,Colombian,Montenegrin
36-89/64,Luciano,Lindsey,Earl,1992-07-18,Polish,Kashmiri
07-82/00,Torri,Cruz,Jerrell,1987-01-04,Mexican,Italian
33-26/94,Vinita,Elliott,Walter,1986-06-27,Afghan,Danish
32-72/10,Jame,Farmer,Brock,2002-05-05,Belgian,Czech
59-18/11,Mckinley,Murphy,Britteny,1982-12-25,French,Georgian
29-42/60,Junior,Mccarthy,Etsuko,2020-08-14,Taiwanese,West Frisian
66-73/48,France,Decker,Cody,2019-12-03,Danish,Spanish
50-69/80,Diego,Burgess,Alica,2007-03-29,Costa Rican,Portuguese
70-23/54,Jackie,Patel,Clementina,2009-05-14,Brazilian,West Frisian
90-55/26,Casey,Frederick,Nichol,1986-04-09,Iranian,Swati
60-13/59,Voncile,Merrill,Benedict,2017-04-24,Taiwanese,Moldovan
16-19/66,Dion,Shaffer,Santana,1998-05-09,Mexican,Arabic
82-08/59,Aaron,Curry,Rayford,1998-04-07,British,Malayalam
00-03/01,Kellye,Bean,Chantell,2019-03-05,Swedish,Icelandic
14-49/08,Clemmie,Sloan,Angel,2011-12-04,Taiwanese,Arabic
71-93/88,Marvin,Pope,Iesha,2012-12-03,Portuguese,Armenian
08-88/48,Francis,Bentley,China,2012-03-24,Ecuadorian,Gagauz
42-24/90,Aurore,Watkins,Yer,1990-06-29,Ethiopian,Norwegian
55-91/66,Robt,Dunn,Theodore,1987-07-23,Dutch,Tajik
29-59/24,Dwight,Callahan,Micki,2014-03-03,Puerto Rican,Dari
08-22/53,Glendora,Knapp,Parker,1983-03-02,Ethiopian,Georgian
31-03/94,Laverne,Skinner,Neil,1994-06-02,Swiss,Dutch
08-15/66,Nubia,Chambers,Danae,1989-04-03,Puerto Rican,Tamil
23-86/05,Rex,Dodson,Branda,1991-08-13,Ukrainian,Estonian
16-33/49,Alonso,Contreras,Gayle,1991-09-30,Swiss,Maltese
21-83/12,Georgiann,Justice,Corrinne,2010-03-11,Belgian,Bulgarian
37-97/00,Aundrea,Black,Gia,1996-09-26,Danish,Aymara
82-67/89,Yasuko,Higgins,Sanford,1994-04-01,Saudi,Lithuanian
01-22/00,Lino,Rios,Lisabeth,2018-04-14,Ethiopian,Georgian
55-45/85,Madlyn,Navarro,Micheal,1991-11-04,Polish,Irish Gaelic
81-97/92,Kennith,Nolan,Albert,1992-11-17,Swedish,Greek
16-63/67,Regan,Hart,Marquis,1986-09-05,Ecuadorian,Croatian
73-60/61,Maurice,Orr,Hoyt,1982-10-04,Spanish,Portuguese
29-92/19,Marco,Chavez,Analisa,2007-08-07,Ukrainian,Khmer
30-66/07,Drew,Cochran,Fredericka,2013-03-07,Jordanian,Belarusian
31-47/71,Jeremiah,Gibson,Masako,1999-12-19,Egyptian,Zulu
35-47/57,Carlos,Rhodes,Elane,2003-02-18,Cambodian,Khmer
88-19/65,Elliott,Daniel,Pei,2022-09-27,Colombian,English
65-50/36,Sammy,Potts,Barrett,1994-05-23,Romanian,Kyrgyz
17-78/74,Marion,Hodges,Winfred,2000-10-25,Uruguayan,Thai
54-20/73,Asley,Little,Cristie,2014-03-04,Canadian,Assamese
30-77/88,Tomas,Mcintyre,Ashli,2000-05-19,Iranian,Sotho
13-57/72,Odis,Bray,Fernande,1980-02-01,Brazilian,Amharic
16-52/93,Shandra,Simon,Erin,2021-06-03,Russian,Polish
00-60/57,Gwenn,Greene,Hiram,1998-05-15,Danish,Dutch
76-65/09,Buena,Ware,Ricki,2009-08-11,Salvadorian,Assamese
96-50/00,Taren,Ruiz,Owen,1980-06-02,Chilean,Luxembourgish
44-76/56,Kiesha,Randolph,Etha,2008-06-29,Mexican,Bulgarian
01-00/67,Wilburn,Cabrera,Damian,2019-09-13,Spanish,Russian
82-51/68,Michale,Lewis,Terresa,2007-02-09,Spanish,Hebrew
89-48/63,Horacio,Herman,Camie,2023-07-23,Swiss,Malay
86-39/88,Gerald,Young,Gearldine,2016-01-24,Salvadorian,Telugu
56-38/98,Boris,Dean,Barney,2008-02-20,Uruguayan,Papiamento
12-96/09,Wilford,Bush,Ruthe,2011-03-25,Bolivian,German
10-84/29,Hue,Caldwell,Salvador,1984-03-12,Australian,Dari
52-61/60,Bruna,Alston,Neoma,2018-02-16,Romanian,Hungarian
40-41/82,Bennett,Roy,Aldo,1993-01-07,Latvian,Kannada
48-73/43,Stuart,Mitchell,Emmett,2012-04-24,Belgian,Ndebele
17-23/20,Lexie,Richmond,Leroy,2014-08-12,Ukrainian,Italian
68-61/25,Cary,Randolph,Glendora,1984-09-22,French,Czech
10-02/95,Jeffrey,Bryan,Celsa,1997-10-02,French,Lithuanian
47-87/59,Jc,Head,Deandre,1995-05-09,Swedish,Arabic
33-90/07,Angelyn,Shelton,Cherryl,2012-01-09,Finnish,Guaraní
67-06/81,Lane,Spears,Scot,2019-01-19,Cameroonian,Pashto
16-42/67,Dwight,Baxter,Twanna,1997-02-05,British,Tsonga
44-65/11,Fidel,Rush,Michiko,2019-01-29,Spanish,Spanish
76-19/34,Rosy,Spencer,Jannet,2001-07-28,Colombian,Punjabi
22-96/10,Hang,Haynes,Tien,2017-02-16,Argentinian,German
80-70/17,Prince,Peterson,Serina,2016-05-22,British,Korean
60-47/37,Raguel,Hendricks,Maire,2002-10-09,Dominican,Chinese
28-32/45,Janiece,Frederick,Glendora,2018-09-26,Dutch,French
22-45/61,Madison,Watts,Lahoma,1993-08-09,Swedish,Kannada
57-34/61,Billye,Hicks,Oretha,1999-04-09,British,Maltese
16-60/60,Karena,Wolf,Murray,2011-07-08,Latvian,Kyrgyz
66-09/18,Raina,Carpenter,Glenn,2003-04-08,Cuban,Bosnian
60-20/83,Stacee,Hess,Gilma,2007-02-08,Mexican,Danish
81-19/09,Bobby,Crane,Terina,2019-04-20,Finnish,Estonian
48-62/16,Markita,Bridges,Lynwood,2023-02-14,Russian,Malay
27-37/31,Patricia,Abbott,Gracia,2016-09-25,Ukrainian,Swedish
97-32/68,Elroy,Alford,Erich,2015-06-12,Saudi,Zulu
49-26/64,Jeremiah,Bright,Nicolasa,1985-02-05,Cuban,French
54-44/35,Billye,Kerr,Ervin,1988-11-10,Puerto Rican,Burmese
03-86/32,Abram,Murray,Ellis,2012-03-20,Costa Rican,Assamese
72-76/74,Jama,Merrill,Tari,1982-07-27,Dutch,Gagauz
